endpoint,n,median,q1,q3,median_ci_lo,median_ci_hi,mean,sd,mean_ci_lo,mean_ci_hi,wilcoxon_stat,p_value,rank_biserial,improved_n,worsened_n,tied_n,sign_pos_n,sign_neg_n,sign_n_nontie,sign_p_value,fav_prop_among_nonties,fav_prop_ci_lo,fav_prop_ci_hi,p_holm_all,is_key_secondary
delta_guardrail_penalty_context,493,0.0,0.0,0.0,0.0,0.0,-0.21906693711967545,0.7890778434801542,-0.2880324543610548,-0.15212981744421908,7090.0,9.476774659014073e-11,-0.6833333333333333,79,16,398,16,79,95,3.4675436577962654e-11,0.8315789473684211,0.7409518055077242,0.9005562516412571,5.686064795408443e-10,True
delta_aware_max,493,0.0,0.0,0.0,0.0,0.0,0.02028397565922921,0.44584158166537763,-0.018255578093306288,0.05887423935091204,16318.0,0.14388071102691152,0.10932905640203154,36,50,407,50,36,86,0.16057841913397977,0.4186046511627907,0.3130366886167659,0.5299429560562572,0.1695519019125472,False
delta_aware_mean,493,0.0,0.0,0.0,0.0,0.0,0.07200811359046654,0.4196353343623888,0.035835023665106484,0.10885733603813387,15446.5,4.008279499522995e-05,0.4487256371814093,36,79,378,79,36,115,7.516458966444587e-05,0.3130434782608696,0.22980998400518013,0.4061803424975069,0.00012024838498568986,False
delta_empiric_cost_24h_eur_median_prices,493,-1.434755218,-9.795372891,0.5678015939,-4.094507098,-0.06745772862,-4.110713867073671,14.34970042825716,-5.347043380591855,-2.860306875866592,36854.0,2.7959898534326757e-13,-0.4258403900436233,268,164,61,164,268,432,6.405047584726451e-07,0.6203703703703703,0.5727514168895758,0.6663286521472227,2.2367918827461406e-12,False
delta_empiric_cost_72h_eur_median_prices,493,-4.304265653,-29.38611867,1.703404782,-12.28352129,-0.2023731859,-12.3321415998071,43.049101284737,-16.041130139634237,-8.58092062636855,36854.0,2.7959898534326757e-13,-0.4258403900436233,268,164,61,164,268,432,6.405047584726451e-07,0.6203703703703703,0.5727514168895758,0.6663286521472227,2.2367918827461406e-12,False
delta_empiric_cost_72h_eur_median_prices_true,323,-9.681723794,-23.922434455,1.703404782,-13.43468533,-0.6696651147,-11.784333658599072,39.816105834142235,-16.127576177658092,-7.550123407848813,15179.5,2.341078169997904e-10,-0.445993031358885,183,103,37,103,183,286,2.5949761105105005e-06,0.6398601398601399,0.5812534556888449,0.6955351548978561,1.170539084998952e-09,False
delta_guardrail_penalty,493,0.0,-1.0,0.0,0.0,0.0,-0.2839756592292089,1.2132763273717964,-0.3894523326572008,-0.18255578093306288,27409.0,1.3319395513096986e-09,-0.36524320313027053,171,72,250,72,171,243,1.8286831038187835e-10,0.7037037037037037,0.6419892582459943,0.7603701811537565,5.327758205238794e-09,False
ΔDDD/24h,493,0.0,-0.5,1.0,0.0,0.1428571429,0.0053773463466734285,0.9672973723589839,-0.08134563250430729,0.08645882836073122,54130.5,0.0847759509562736,0.0795443032274769,184,237,72,237,184,421,0.01117879539320648,0.43705463182897863,0.389073890531418,0.48592615211000517,0.1695519019125472,False
