endpoint,n,median,q1,q3,median_ci_lo,median_ci_hi,mean,sd,mean_ci_lo,mean_ci_hi,wilcoxon_stat,p_value,rank_biserial,improved_n,worsened_n,tied_n,sign_pos_n,sign_neg_n,sign_n_nontie,sign_p_value,fav_prop_among_nonties,fav_prop_ci_lo,fav_prop_ci_hi,p_holm_all
delta_any_broad_use,493,0.0,-1.0,0.0,0.0,0.0,-0.19066937119675456,0.5948236725602122,-0.2434077079107505,-0.13793103448275862,19477.5,1.1700213117066199e-11,-0.4895833333333333,143,49,301,49,143,192,7.262557535882827e-12,0.7447916666666666,0.6770184027503351,0.8048409154708084,3.5100639351198594e-11
delta_any_violation,493,0.0,0.0,0.0,0.0,0.0,-0.12170385395537525,0.4149095522032568,-0.15821501014198783,-0.08519269776876268,7160.0,3.9641597078900173e-10,-0.6521739130434783,76,16,401,16,76,92,1.5997152991106227e-10,0.8260869565217391,0.7329954020139652,0.8971984903984384,5.236510346760107e-10
delta_broad_use_count,493,0.0,-1.0,0.0,0.0,0.0,-0.24949290060851928,0.9109902291529245,-0.3265720081135903,-0.1724137931034483,26489.0,2.6182551733800537e-10,-0.41037687322108296,170,71,252,71,170,241,1.5227862589244306e-10,0.7053941908713693,0.6434805799535155,0.7621746687107912,5.236510346760107e-10
