n,n00,n01,n10,n11,rd,matched_or,matched_or_ci_lo,matched_or_ci_hi,p_mcnemar_exact,endpoint,n_lowrisk,median,q1,q3,median_ci_lo,median_ci_hi,mean,sd,mean_ci_lo,mean_ci_hi,wilcoxon_stat,p_value,rank_biserial,improved_n,worsened_n,tied_n,sign_pos_n,sign_neg_n,sign_n_nontie,sign_p_value,fav_prop_among_nonties,fav_prop_ci_lo,fav_prop_ci_hi
71.0,37.0,1.0,31.0,2.0,-0.4225352112676056,0.047619047619047616,0.009255699176133702,0.24499215596723162,1.5366822481155396e-08,Low-risk: any broad-spectrum class used,71.0,,,,,,,,,,,,,,,,,,,,,,
71.0,37.0,1.0,32.0,1.0,-0.43661971830985913,0.046153846153846156,0.008981193645349736,0.23718200485476215,7.916241884231567e-09,Low-risk: any contextual guardrail violation,71.0,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,Low-risk subgroup: delta_guardrail_penalty_context,71.0,0.0,-1.0,0.0,-1.0,0.0,-0.676056338028169,1.0110058341971544,-0.9154929577464789,-0.4647887323943662,51.0,7.569636938727397e-08,-0.9536541889483066,32.0,1.0,38.0,1.0,32.0,33.0,7.916241884231567e-09,0.9696969696969697,0.8424060277275032,0.9992330879249276
